species_code,species_name,common_name
164,Polioptila caerulea,Blue-gray Gnatcatcher
165,Polioptila californica,California Gnatcatcher
166,Polioptila melanura,Black-tailed Gnatcatcher
167,Pooecetes gramineus,Vesper Sparrow
168,Progne subis,Purple Martin
169,Psaltriparus minimus,Bushtit
170,Psiloscops flammeolus,Flammulated Owl
171,Pyrocephalus rubinus,Vermilion Flycatcher
172,Quiscalus mexicanus,Great-tailed Grackle
173,Regulus calendula,Ruby-crowned Kinglet
174,Regulus satrapa,Golden-crowned Kinglet
175,Riparia riparia,Bank Swallow
176,Salpinctes obsoletus,Rock Wren
177,Sayornis nigricans,Black Phoebe
178,Sayornis saya,Say's Phoebe
179,Selasphorus calliope,Calliope Hummingbird
180,Selasphorus platycercus,Broad-tailed Hummingbird
181,Selasphorus rufus,Rufous Hummingbird
182,Selasphorus sasin,Allen's Hummingbird
183,Setophaga coronata,Yellow-rumped Warbler
184,Setophaga nigrescens,Black-throated Gray Warbler
185,Setophaga occidentalis,Hermit Warbler
186,Setophaga petechia,Yellow Warbler
187,Setophaga townsendi,Townsend's Warbler
188,Sialia currucoides,Mountain Bluebird
189,Sialia mexicana,Western Bluebird
190,Sitta canadensis,Red-breasted Nuthatch
191,Sitta carolinensis,White-breasted Nuthatch
192,Sitta pygmaea,Pygmy Nuthatch
193,Sphyrapicus nuchalis,Red-naped Sapsucker
194,Sphyrapicus ruber,Red-breasted Sapsucker
195,Sphyrapicus thyroideus,Williamson's Sapsucker
196,Spinus lawrencei,Lawrence's Goldfinch
197,Spinus pinus,Pine Siskin
198,Spinus psaltria,Lesser Goldfinch
199,Spinus tristis,American Goldfinch
200,Spizella atrogularis,Black-chinned Sparrow
201,Spizella breweri,Brewer's Sparrow
202,Spizella passerina,Chipping Sparrow
203,Spizelloides arborea,American Tree Sparrow
204,Stelgidopteryx serripennis,Northern Rough-winged Swallow
205,Streptopelia chinensis,Spotted Dove
206,Streptopelia decaocto,Eurasian Collared-Dove
207,Strix nebulosa,Great Gray Owl
208,Strix occidentalis,Spotted Owl
209,Strix occidentalis,Spotted Owl (bark)
210,Strix occidentalis,Spotted Owl (cont)
211,Strix occidentalis,Spotted Owl (four)
212,Strix occidentalis,Spotted Owl (juve)
213,Strix occidentalis,Spotted Owl (monk)
214,Strix varia,Barred Owl
215,Sturnella neglecta,Western Meadowlark
216,Sturnus vulgaris,European Starling
217,Tachycineta bicolor,Tree Swallow
218,Tachycineta thalassina,Violet-green Swallow
219,Thryomanes bewickii,Bewick's Wren
220,Toxostoma crissale,Crissal Thrasher
221,Toxostoma lecontei,LeConte's Thrasher
222,Toxostoma redivivum,California Thrasher
223,Troglodytes aedon,House Wren
224,Troglodytes pacificus,Pacific Wren
225,Turdus migratorius,American Robin
226,Tyrannus verticalis,Western Kingbird
227,Tyrannus vociferans,Cassin's Kingbird
228,Tyto alba,Barn Owl
229,Vireo bellii,Bell's Vireo
230,Vireo cassinii,Cassin's Vireo
231,Vireo gilvus,Warbling Vireo
232,Vireo huttoni,Hutton's Vireo
233,Vireo plumbeus,Plumbeous Vireo
234,Vireo vicinior,Gray Vireo
235,Xanthocephalus xanthocephalus,Yellow-headed Blackbird
236,Zenaida asiatica,White-winged Dove
237,Zenaida macroura,Mourning Dove
238,Zonotrichia albicollis,White-throated Sparrow
239,Zonotrichia atricapilla,Golden-crowned Sparrow
240,Zonotrichia leucophrys,White-crowned Sparrow
